date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:56	8110/8110	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Nov%202020%2008:01:55%20GMT	https://presentwebsite.com/demo/52669.html	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/demo/52669.html	(from )
08:01:56	122/122	---MCZ	200	added ('OK')	text/plain	etag:W/%22c0-56d4ae787d6c0%22	https://presentwebsite.com/robots.txt		(from )
08:01:57	2083/2083	---M--	200	added ('OK')	image/png	etag:%22823-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-57x57.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-57x57.png	(from https://presentwebsite.com/demo/52669.html)
08:01:57	2131/2131	---M--	200	added ('OK')	image/png	etag:%22853-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-60x60.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-60x60.png	(from https://presentwebsite.com/demo/52669.html)
08:01:58	2455/2455	---M--	200	added ('OK')	image/png	etag:%22997-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-72x72.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-72x72.png	(from https://presentwebsite.com/demo/52669.html)
08:01:58	2558/2558	---M--	200	added ('OK')	image/png	etag:%229fe-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-76x76.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-76x76.png	(from https://presentwebsite.com/demo/52669.html)
08:01:59	3817/3817	---M--	200	added ('OK')	image/png	etag:%22ee9-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-114x114.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-114x114.png	(from https://presentwebsite.com/demo/52669.html)
08:01:59	3994/3994	---M--	200	added ('OK')	image/png	etag:%22f9a-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-120x120.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-120x120.png	(from https://presentwebsite.com/demo/52669.html)
08:02:00	4807/4807	---M--	200	added ('OK')	image/png	etag:%2212c7-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-144x144.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-144x144.png	(from https://presentwebsite.com/demo/52669.html)
08:02:00	5104/5104	---M--	200	added ('OK')	image/png	etag:%2213f0-55ed699afc980%22	https://presentwebsite.com/themes/presentwebsite/images/apple-icon-152x152.png	C:/My%20Web%20Sites/sportbet%203/presentwebsite.com/themes/presentwebsite/images/apple-icon-152x152.png	(from https://presentwebsite.com/demo/52669.html)
